coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
ADAUSDC,2025-03-11 00:00:00+00:00,2025-03-11 01:00:00+00:00,0.671,0.6923,25.0,0.03174366616989566,0.7935916542473914,0.05079359165424739,0.7427980625931441,78.42021434972057,36
ADAUSDC,2025-03-11 14:00:00+00:00,2025-03-11 15:00:00+00:00,0.7187,0.726,25.0,0.010157228328927192,0.2539307082231798,0.05025393070822319,0.2036767775149566,78.62389112723552,37
ADAUSDC,2025-04-07 12:00:00+00:00,2025-04-07 13:00:00+00:00,0.542,0.5676,25.0,0.04723247232472316,1.180811808118079,0.05118081180811808,1.1296309963099609,79.75352212354548,38
ADAUSDC,2025-04-09 16:00:00+00:00,2025-04-09 17:00:00+00:00,0.5697,0.6367,25.0,0.11760575741618406,2.9401439354046017,0.05294014393540461,2.8872037914691973,82.64072591501468,39
BTCUSDC,2024-12-05 01:00:00+00:00,2024-12-05 02:00:00+00:00,98469.94,101320.0,25.0,0.028943452184494046,0.7235863046123512,0.05072358630461235,0.6728627183077388,26.672862718307737,1
BTCUSDC,2025-01-20 05:00:00+00:00,2025-01-20 06:00:00+00:00,102113.5,107290.3,25.0,0.05069652886249128,1.267413221562282,0.05126741322156228,1.2161458083407197,27.889008526648457,2
BTCUSDC,2025-03-02 15:00:00+00:00,2025-03-02 16:00:00+00:00,85084.0,91201.99,25.0,0.07190529359221481,1.7976323398053704,0.051797632339805375,1.7458347074655651,29.634843234114022,3
BTCUSDC,2025-03-02 16:00:00+00:00,2025-03-02 17:00:00+00:00,87420.02,94100.16,25.0,0.07641430418341244,1.910357604585311,0.05191035760458532,1.8584472469807256,31.493290481094746,4
BTCUSDC,2025-04-09 16:00:00+00:00,2025-04-09 17:00:00+00:00,77201.11,82174.0,25.0,0.0644147474045386,1.610368685113465,0.05161036868511347,1.5587583164283516,33.0520487975231,5
DOGEUSDC,2024-10-17 23:00:00+00:00,2024-10-18 00:00:00+00:00,0.12855,0.13386,25.0,0.04130688448074686,1.0326721120186715,0.05103267211201867,0.9816394399066528,26.98163943990665,1
DOGEUSDC,2024-11-03 18:00:00+00:00,2024-11-03 19:00:00+00:00,0.14675,0.14889,25.0,0.014582623509369697,0.3645655877342424,0.05036456558773425,0.31420102214650814,27.29584046205316,2
DOGEUSDC,2024-11-04 21:00:00+00:00,2024-11-04 22:00:00+00:00,0.15676,0.15769,25.0,0.0059326358764990195,0.1483158969124755,0.050148315896912474,0.09816758101556301,27.394008043068723,3
